{\rtf1\ansi\ansicpg1252\cocoartf2708
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 well i am a debater at bingham high school in utah and the topic this year is immigration and this article has reasons why immigrants and good for innovation which is an important part of my case	0\
i am a safeguarding adviser in the church of england i have been working with a colleague and a psychologist at notttingham trent university (uk) one research into the impact of religiosity on the likelihood to report abuse and likelihood to give credibility to allegations made  it\'92s a long time since i have undertaken study ( i have been in practice for 22 years) so i have found it really helpful to have access to papers and articles that can assist my understanding of sdo which is assisting me in fully participating in the analysis of our data	0\
i work at a school district in a small city i dont have colleagues who are educational researchers so its essential for me to review research to stay current in my field i employed a value-added model in my district and was able to use information in recent articles accessed through dash otherwise i wouldnt be able to access this information without hefty fees or hoops to jump through thank you please continue this work i will happily provide time and effort to support your work!	1\
i am a master student currently writing my master thesis in finance at a rather small university with limited access due to a lack of financial support that\'b4s why i have to say thank you for dash!	1\
as a immigrant student in london i spend more than half of my full-time job salary just on my rent for me every penny counts open access sources are vital for my academic progress	0\
thank yo very much dash the paper is very useful for my project task in university	1\
so unbelievably thankful for the access to these works as one who could only ever dream of harvard the ability to read and learn from and cite these writings is a privilege i am so grateful for thank you	1\
hello this article is very valuable to me as i am a graduate student pursuing a doctoral degree in education  specialiation in curriculum and instruction specifically science education  i am currently a science content specialist in a midwestern urban school district  i have been researching articles and studies regarding surveys on student perceptions  i am in the process of designing my surveys and questions and found a great article summarizing the met project funded by bill and melinda gates  inside the article (digital) a reference was cited regarding the theoretical basis of the survey and questions  when i conducted that search i was diredted to harvard dash  so thank you very much for making this source open and accessible	1\
i am a ucl art history student and was searching for the connection between yeats and modernism- his view towards the movement of his time in literature art architecture- everywhere an open article about the topic was really clear cogent well-written and helpful for my research thank you	1\
i cannot study racism and its effects on social determinants of health without examining the tuskegee syphilis study brandts review article provides a comprehensive overview of the experiment and leads to valuable sources it would be difficult for me to access this older publication without the open access	0\
the free access to the article i was looking for was convenient for me as a researcher and it also enabled me to know that i will be able to access advances in research even if/when i lose institutional access to such resources	0\
im an nyu student writing a research paper on a topic related to affirmative action (especially in the workplace) though i am afforded a plethora of research tools and databases through my university i greatly appreciate the accessibility of harvard dash requires no log-in credentials or payment if i was not the student at a large institution i would not have these resources as many people do not it is increasingly important that knowledge and academia in general becomes more accessible and less elitist harvard dash is a great example of this we need to see more of this!	0\
im working on a edd in leadership and practice and studying the relationship between generosity and satisfaction in life and commitment to the organization i hope to one day convene and promote a societal shift toward generosity and encouragement that counters the bitter divisiveness so prevalent in american society at present	0\
learning about different approaches and experiences in priority setting in health to inform my work being able to follow the trail of cited publications from article to article without having constant roadblocks in the shape of paywalls really helps to make knowledge (which has gone through some level of vetting as opposed to wiki-style sources) is tremendously helpful	0\
i am a college student who is majoring in psychology and economics i really appreciate the open access to articles i find it an inherent problem that a lot of work being done (in psychology for example) that is ultimately aimed at how we can affect peoples lives gets lost behind a paywall - and those who do not have institutional access never get to read that they only get the news story versions of those journal articles and i think it improves everyones scientific literacy to reduce barriers to access literature	0\
i go to north carolina agricultural and technical state university and im doing a term paper on computers and criminal justice \'96 using algorithms to make judgements	0\
i am a manager in the it department of a large industrial company this article gave me clarity on how to approach resolving software architecture issues and technical debt within the code base of my organization	0\
i am currently writing my dissertation and needing articles on brain activity and religious experience  thanks for making this article available!	1\
i\'92m a graduate of mit (sb econs) and harvard (mpp) and currently in kl malaysia (attending unexpectedly to my father\'92s estate matters)  i am utterly delighted to be able to access this research through the harvard community and the values which underpin this access to seekers (whereever they are on the globe) are a warm timely and frankly needed reminder and reassurance that those values and ideals held out decades ago to a young student should still inspire hold true and be lived out whatever phase in their life and whereever they should find themself on the earth  i realized when i graduated from harvard and finally managed to pry myself from that environment to return to my part of the world and duties  that harvard is not a place - its an ideal and enduring vision of heights sought glimpsed and yes attained  even in darkness (perhaps it is just night) your  harvard grad is doing everything she should - my teachers would be so pleased - and there is still so much more good to do  harvard stay harvard forever including for those who look to you (across timezones/the globe/cultural continents) to remind them of what they are were bred/schooled to and should be	0\
with harvard dash i was able to access research and papers for free that i would otherwise have had to pay for i appreciate the service	0\
a student of global development studies at queens university in canada im accessing this work as part of a research paper on the effects of increased tourism on the economy and ecology of mexico	0\
studying a masters degree in economics and was extremely helpful when writing a research project centrered around the dutch disease and natural resource curse	0\
this article has revealed much insightful stuff in relation to probability weighting thank you for providing open access	1\
i am writing a popular science book on emotion and access to research is critical!	0\
this article saved me 40 in purchasing a scholarly journal!	0\
msc health psychology student at national university of ireland galway	0\
exchange of ideas	0\
i am enormously grateful! this is how the republic of letters should work!	1\
i used this article for my paleontology class it helped my understanding of the the snowball earth hypothesis	0\
i am a high school student writing a researching a paper about the environmental effects of electric cars	0\
ability to read dissertations has improved my ability to write -- as an undergraduate working on her honors thesis the works of researchers who have come before me are essential resources	0\
thanks for dash i am a professor in hr management and very much appreciated leading teams when the time is right (hackman j richard cs 2009) in preparation of my classes thank you very much it is highly appreciated	1\
im a italian primary care pediatrician and im involved in the activities of isde italia a branch of the international society of doctors for the environment im greatly interested on neurobehavioural effects of chemicals and on the effects of environmental hazards on children health	0\
i am a high school debater and harvard open access has made it easy and accessible for me to find high quality research to use in my argumentation	0\
i am 24 years old i am a college student who wrote a paper on electric cars and the environment the article i found was very useful i am looking forward to reading other articles from this platform	0\
im a professional dog trainer writing a book on what modern scientific dog training reveals about our moral obligations to our animals and to each other i needed to brush up on moral philosophy especially kant to write this book this article was fantastic one of the best ive found	0\
i am a baby boomers currently in school to obtain a master degree in human resources  i must write a paper on the future of unions in the us  all articles must be from scholarly sources  the information obtain herein will be used for that purpose  the article will provide insight and aid in my learning experience in my current course labor relations	0\
i am just citizen of the us living in ca confronting racism every day as a white person wanting to understand the very earliest origins of slavery in what became the us especially the economics of it	0\
im a programme officer at small foundation that promotes ecological agricultural in east africa open access has been instrumental in helping our team build an evidence base for the logic of our programme interventions - an essential step towards improving the link between research and practice and translating this into more effective better designed projects	0\
many thanks working on a book on a cohernet approach to csr and article very useful	1\
i am writing a literature review focusing on the examination of interactions between the environment and the endocrine system in terms of sleep and behavior across humans and non human primates i was able to gather so much information regarding the history of primates and sleep from a phylogenic perspective it really helped to be able to review the connection between the two versus just making contrasts thank you for allowing access to this article!	1\
i am a graduate student at bu studying the history of food and hunger in the united states open access allowed me to access a paper chronicling just this - providing me with a solid base of information for my research and providing other sources through the bibliography	0\
i am in an mba program and am conducting research on positive praise in the workplace and this previous research is a good source of data	0\
